"repo","tiene_estado","esquema","n_candado","sesion_actual","traspaso_max","desync","fecha_discrepante","sesion_abierta","commit_cierre","traspaso_vigente","traspaso_vigente_calza","cierre_incompleto","insumos_verificados","ventana_diagnostico","en_premisa_v11","remoto","alineado","rama","ref_usada","sucio","stash","adelante","detras","traspasos_a_la_vista","traspasos_archivados","traspasos_sin_versionar","huecos","I1","I2","I3","I4","I5","I6","I7","I8","I9","invariantes_pasa","maneja_sensibles","tiene_gobernanza","coherencia_gobernanza","datos_versionados","ordenacion","locale_marcador","locale_guarda","backlog","activa_fuera_de_patron","version_politica_local","version_settings_local","sello_reciente","par_identico","snapshots_retenidos","retrato_obsoleto","n_decisiones","decisiones_fuera_de_patron","decision_mas_reciente","ventana_insumos","n_entradas"
"slep_alertas_ael","si","v5","0","v02","v02","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_alertas_ael","si","main","origin/main","6","0","0","9","2","0","1","ninguno","FALLA","PASA","FALLA","PASA","FALLA","FALLA","PASA","PASA","FALLA","4/9","true","si","ok","0","no","si","2","no","3","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260609_230657","si","1","9","0","0","AUSENTE","AUSENTE","0"
"slep_aprendizajes_ep","si","v5","0","v125","v125","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_aprendizajes_ep","si","main","origin/main","0","0","1","17","1","124","0","ninguno","PASA","PASA","FALLA","PASA","PASA","FALLA","PASA","FALLA","FALLA","5/9","true","si","ok","3","si","si","2","si","0","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260815_184917","si","2","44","29","1","20260815","AUSENTE","0"
"slep_categoria_desempeno","si","v5","0","v28","v28","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","declarada","si","slep_categoria_desempeno","si","main","origin/main","1","0","0","0","28","0","0","ninguno","FALLA","PASA","PASA","PASA","FALLA","FALLA","PASA","FALLA","PASA","5/9","true","si","ok","13","no","no","1","si","4","AUSENTE","AUSENTE","20260702_000331","si","2","14","13","2","20260619","./20_insumos","1"
"slep_costapresente","si","v5","0","v01","v01","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_costapresente","si","main","origin/main","0","0","1","9","1","0","0","ninguno","PASA","PASA","FALLA","PASA","PASA","FALLA","PASA","PASA","FALLA","6/9","true","si","ok","0","no","si","2","no","2","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260624_131619","si","3","0","0","0","AUSENTE","AUSENTE","0"
"slep_dashboard_personal_monitoreo","si","v5","0","v17","v17","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_dashboard_personal_monitoreo","si","main","origin/main","0","0","0","0","15","0","0","v03, v04","PASA","PASA","PASA","PASA","FALLA","FALLA","n/d","PASA","FALLA","5/9","true","si","ok","0","no","no","1","no","1","> **Versión 5.7 — vigente.** Documento maestro único de arquitectura y","> **Versión 31.**","AUSENTE","n/d","0","n/d","7","7","AUSENTE","AUSENTE","0"
"slep_estado_proyectos_monitoreo","si","v5","0","v06","v11","si (delta 5)","si","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_estado_area_monitoreo","no (aceptada)","main","origin/main","24","1","0","10","11","0","2","ninguno","FALLA","FALLA","FALLA","PASA","FALLA","FALLA","PASA","FALLA","FALLA","2/9","false","no","ok","2","no","si","2","si","2","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260824_083051","si","2","0","2","0","20260710","AUSENTE","0"
"slep_estudio_oferta_demanda","si","v5","0","v09","v09","no","no","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_estudio_oferta_demanda","si","main","origin/main","15","0","0","9","9","0","0","ninguno","FALLA","PASA","FALLA","PASA","FALLA","FALLA","PASA","PASA","FALLA","4/9","true","si","ok","0","no","si","2","si","1","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260710_065945","si","2","13","2","0","20260708","AUSENTE","0"
"slep_georreferenciacion","si","v33+","6","v20","v20","no","no","false","da07a95","traspaso_cierre_v20.md","si","no","2026-08-23","declarada","si","slep_territorio_costa_central","no (aceptada)","main","origin/main","3","0","0","0","1","19","0","ninguno","FALLA","PASA","PASA","PASA","PASA","PASA","PASA","FALLA","PASA","7/9","true","no","falta_documento","6","no","si","3","si","7","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260823_181917","si","2","1","7","0","20260823","./20_insumos","1"
"slep_gestion_solicitudes_compras","si","v31","6","v16","v16","no","no","false","fe25b88","traspaso_cierre_v16.md","si","no","2026-08-21","ausente","no","slep_gestion_solicitudes_compras","si","main","origin/main","2","0","0","0","1","15","0","ninguno","FALLA","PASA","PASA","PASA","PASA","PASA","PASA","FALLA","FALLA","6/9","true","si","ok","2","si","si","3","si","0","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260821_072154","si","2","2","11","0","20260821","AUSENTE","0"
"slep_idps","si","v5","0","v26","v28","si (delta 2)","n/d","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","AUSENTE","ausente","si","slep_idps","si","main","origin/main","10","0","0","10","28","0","0","ninguno","FALLA","PASA","FALLA","PASA","FALLA","FALLA","PASA","FALLA","FALLA","3/9","false","no","ok","72","no","si","2","si","3","> **Versión 5.8 — vigente.** Documento maestro único de arquitectura y","> **Versión 34.**","20260704_222011","si","2","9","6","0","20260625","AUSENTE","0"
